x_m,y_m
-27.3461,60.6753
-27.9962,59.9193
-28.6254,59.1458
-29.2333,58.3555
-29.8194,57.5488
-30.3832,56.7265
-30.9244,55.8890
-31.4424,55.0371
-31.9370,54.1713
-32.4078,53.2924
-32.8544,52.4009
-33.2765,51.4976
-33.6737,50.5830
-34.0458,49.6580
-34.3925,48.7231
-34.7136,47.7791
-35.0087,46.8267
-35.2777,45.8666
-35.5204,44.8995
-35.7366,43.9261
-35.9261,42.9472
-36.0888,41.9635
-36.2245,40.9757
-36.3333,39.9846
-36.4149,38.9908
-36.4694,37.9953
-36.4966,36.9985
-36.4966,36.0015
-36.4694,35.0047
-36.4149,34.0092
-36.3333,33.0154
-36.2245,32.0243
-36.0888,31.0365
-35.9261,30.0528
-35.7366,29.0739
-35.5204,28.1005
-35.2777,27.1334
-35.0087,26.1733
-34.7136,25.2209
-34.3925,24.2769
-34.0458,23.3420
-33.6737,22.4170
-33.2765,21.5024
-32.8544,20.5991
-32.4078,19.7076
-31.9370,18.8287
-31.4424,17.9629
-30.9244,17.1110
-30.3832,16.2735
-29.8194,15.4512
-29.2333,14.6445
-28.6254,13.8542
-27.9962,13.0807
-27.3461,12.3247
-26.6755,11.5868
-25.9851,10.8675
-25.2752,10.1673
-24.5465,9.4867
-23.7995,8.8263
-23.0347,8.1865
-22.2527,7.5679
-21.4542,6.9709
-20.6396,6.3959
-19.8096,5.8433
-18.9648,5.3137
-18.1059,4.8073
-17.2335,4.3246
-16.3482,3.8659
-15.4507,3.4315
-14.5416,3.0218
-13.6218,2.6371
-12.6917,2.2776
-11.7522,1.9437
-10.8039,1.6356
-9.8476,1.3535
-8.8839,1.0976
-7.9136,0.8682
-6.9373,0.6653
-5.9559,0.4892
-4.9701,0.3400
-3.9805,0.2177
-2.9880,0.1225
-1.9932,0.0545
-0.9970,0.0136
